publication_id,publication_title,publication_doi,join_dataset1,join_dataset2,join_join_type,join_confidence_score,join_methodology,join_join_keys,join_context
pub.1155096176,"Chronic Food Insecurity in US Families With Children",10.1001/jamapediatrics.2022.5820,"Panel Study of Income Dynamics (PSID)","USDA Household Food Security Survey Module (HFSSM)","integration",7.2,"The authors extracted the Panel Study of Income Dynamics (PSID) longitudinal file and the USDA Household Food Security Survey Module (HFSSM) items that are embedded in the PSID questionnaire. Using the unique PSID family identifier and the wave (year) variable, the HFSSM responses were merged into t","[""family_id"",""wave_year""]","The authors state that food‑insecurity status was measured using the USDA Household Food Security Survey Module (HFSSM) within the PSID data. This indicates that the PSID panel data were combined with the HFSSM questionnaire responses to create the analytical variable."
pub.1155096176,"Chronic Food Insecurity in US Families With Children",10.1001/jamapediatrics.2022.5820,"Panel Study of Income Dynamics (PSID)","Current Population Survey (CPS)","comparison/combination",6.8,"The study did not perform a record level join. PSID prevalence estimates were calculated using survey weights and compared to CPS cross sectional estimates reported in published tables. The comparison was based on aligning the same definition of food insecurity and the same calendar years.","[]","The manuscript notes that ""the PSID has shown lower cross‑sectional rates of food insecurity compared with the benchmark Current Population Survey across time,"" implying that PSID estimates were juxtaposed with CPS estimates to assess relative prevalence."
pub.1155096874,"Accuracy of Electronic Health Record Food Insecurity, Housing Instability, and Financial Strain Screening in Adult Primary Care",10.1001/jama.2022.23631,"Epic EHR‑derived multidomain social‑risk screening responses","External single‑domain questionnaire responses (USDA Six‑Item Food Security Survey, Housing Instability Index, CFPB Financial Well‑being Scale)","integration",9.2,"Patient level records from the Epic EHR questionnaire were linked to the responses from the USDA food security survey, the housing instability index and the CFPB financial well being scale. The linkage used the unique patient identifier that is present in both data sources. Responses were collected ","[""patient_id"",""encounter_date""]","Patient‑level responses from the EHR‐based questionnaire were linked to the answers from the validated single‑domain instruments to compute sensitivity, specificity, PPV and AUC."
pub.1155096874,"Accuracy of Electronic Health Record Food Insecurity, Housing Instability, and Financial Strain Screening in Adult Primary Care",10.1001/jama.2022.23631,"Patient demographic data extracted from the EHR (age, sex, race/ethnicity)","Social‑risk screening responses (both EHR‑based and external questionnaires)","merge",8.5,"The researchers extracted demographic records from the electronic health record and questionnaire responses from the separate screening tools. After extraction, both files were cleaned and each record was assigned a unique patient identifier that existed in both sources. An inner merge was then perf","[""patient_id"",""encounter_id"",""visit_date""]","Table 1 presents demographic characteristics of the 826 participants alongside their screening outcomes; these characteristics were derived from the EHR and linked to the questionnaire data for descriptive and subgroup analyses."
pub.1155096874,"Accuracy of Electronic Health Record Food Insecurity, Housing Instability, and Financial Strain Screening in Adult Primary Care",10.1001/jama.2022.23631,"In‑clinic administered questionnaires (paper or electronic)","Remote questionnaires completed via phone or email after the visit","combination",7.3,"The study extracted questionnaire data from the electronic health record for patients who completed the survey during their visit and from separate phone or email records for those who responded later. Records were merged by patient identifier that was common to both sources. The merge was performed","[""patient_id""]","The study pooled responses collected during clinic visits (74 % of participants) with those obtained later by phone/email (4.2 % response rate) to form the final analytic sample of 826 patients."
pub.1155104719,"COVID-19 Benefits and Dietary Behaviors Among Mothers From Low-Income, Food-Insecure Households",10.1016/j.jneb.2022.10.009,"Medi‑Cal Eligibility Data System (MEDS)","California Family Health Study (CFHS) survey data","integration",9.2,"The eligibility list from the Medi‑Cal system was exported with household identifiers, names, demographic fields and contact information. The CFHS interview data set contained the same identifiers for the youngest mother in each household together with survey responses. Both files were imported into","[""household_id"",""mother_name"",""address""]","MEDS provided names, demographics, and contact information for households that were used to construct the sampling frame for the CFHS. The eligibility list from MEDS was merged with the CFHS interview responses to create the analytic database of 2,584 mothers."
pub.1155104719,"COVID-19 Benefits and Dietary Behaviors Among Mothers From Low-Income, Food-Insecure Households",10.1016/j.jneb.2022.10.009,"Automated Self‑Administered 24‑Hour Dietary Recall (ASA24) output","CFHS survey responses (demographic, food‑security, and other questionnaire data)","fusion",8.7,"The ASA24 output was linked to the CFHS survey record for each mother using the unique participant identifier assigned in the sampling frame. After extracting the two files the analyst loaded them into SPSS, performed cleaning steps, removed records with missing food security items and implausible c","[""participant_id""]","During the telephone interview, mothers reported all foods and beverages consumed the previous day using the ASA24 tool. The resulting dietary intake variables (e.g., cups of FV100%FJ, fluid ounces of SSB, water, HEI‑2015 scores) were merged with the demographic and food‑security variables for each "
pub.1155104719,"COVID-19 Benefits and Dietary Behaviors Among Mothers From Low-Income, Food-Insecure Households",10.1016/j.jneb.2022.10.009,"U.S. Department of Agriculture Food Security Survey Module (USDA FSSM) items","CFHS questionnaire data","integration",8,"The six USDA food security items were collected as part of the CFHS questionnaire. Responses were coded into a VLFS indicator. The indicator was then merged with the remaining CFHS records using the unique respondent identifier that links all questionnaire modules. The merge was performed in SPSS us","[""respondent_id""]","Six items from the USDA Food Security Survey Module were embedded in the CFHS questionnaire to classify households as Very Low Food Security (VLFS) or non‑VLFS. The coded food‑security status was then joined to the rest of the CFHS dataset for subgroup analyses."
pub.1155104719,"COVID-19 Benefits and Dietary Behaviors Among Mothers From Low-Income, Food-Insecure Households",10.1016/j.jneb.2022.10.009,"CFHS data from Federal Fiscal Year (FFY) 2020","CFHS data from FFY 2018 and FFY 2019","combination",7.6,"The investigators combined the two annual cross sectional survey files from fiscal year 2018 and fiscal year 2019 by stacking the records row wise to form a single baseline data set. The combined file was then used as a reference group and compared with the fiscal year 2020 survey file. All data han","[]","The authors pooled the 2018 and 2019 CFHS datasets to create a comparison baseline and then compared mean differences in dietary outcomes with the 2020 CFHS data to assess seasonal effects versus the impact of COVID‑19 benefits."
pub.1155104719,"COVID-19 Benefits and Dietary Behaviors Among Mothers From Low-Income, Food-Insecure Households",10.1016/j.jneb.2022.10.009,"SNAP‑Ed evaluation framework indicators (USDA)","CFHS survey data","integration",7,"The ASA24 output files containing the four dietary indicators were linked to the CFHS participant records using the unique participant identifier assigned in the CFHS database. The merge was performed in SPSS where the participant ID fields from both datasets were aligned, missing records were exclu","[""participant_id""]","Four outcome variables derived from the ASA24 (FV100%FJ, SSB, water, HEI‑2015) were selected because they align with the USDA SNAP‑Ed evaluation framework. These indicators were merged with the CFHS participant‑level data for statistical modeling."
pub.1155184884,"The protective effect of SNAP during economic downturns: Evidence from the COVID‐19 pandemic",10.1002/aepp.13345,"National Health Interview Survey (NHIS) longitudinal panel data (2019‑2020)","Bureau of Labor Statistics (BLS) region‑quarter unemployment rates and food‑price CPI series (FAH CPI and FAFH CPI)","integration",9.2,"The authors first extracted the 2019‑2020 NHIS longitudinal panel and the BLS regional unemployment and food price CPI series. BLS series were aggregated to the census region‑quarter level. A key based merge was then performed by matching each NHIS respondent to the corresponding region‑quarter macr","[""census_region"",""interview_quarter""]","The authors augment each respondent’s NHIS record with macro‑economic controls – regional unemployment rates and food‑price indices – by matching on the respondent’s census region and interview quarter. These variables (Y_rt) are included in the regression models to control for time‑varying economic"
pub.1155223421,"Impact of Food Insecurity and Undernutrition on Frailty and Physical Functioning in Aging People With HIV in the United States",10.1097/jnc.0000000000000395,"Self‑reported survey data (food‑insecurity questionnaire, REAP, demographic and behavioral questionnaire)","Electronic Medical Record (EMR) data (laboratory values, comorbidities, medications, HIV clinical variables)","integration",8.7,"Survey data were collected in REDCap and exported as CSV files. EMR data were extracted from the clinical database as a separate CSV. Both files contained a unique study identifier that corresponded to the patient medical record number. The two files were merged using an exact match on this identifi","[""study_id"",""medical_record_number""]","All participant surveys were entered into REDCap and then linked to EMR‑derived variables (e.g., serum albumin, CD4 count, ART regimen) for each individual to examine the relationships between food insecurity, undernutrition, frailty, and physical function."
pub.1155223421,"Impact of Food Insecurity and Undernutrition on Frailty and Physical Functioning in Aging People With HIV in the United States",10.1097/jnc.0000000000000395,"Rapid Eating Assessment for Participants (REAP) questionnaire responses","Serum albumin laboratory measurements","fusion",7.9,"The investigators first extracted the REAP questionnaire responses (binary endorsement of each item) and the serum albumin values from two separate data sources: the REDCap database that stored the participant‑completed surveys and the electronic medical record (EMR) that contained the routine labor","[""study_id""]","Undernutrition was defined as either frequent REAP endorsements (≥5 “Usually/Often” items) **or** a serum albumin level < 4 g/dL, indicating that the two distinct data streams were combined to create a single binary outcome."
pub.1155223421,"Impact of Food Insecurity and Undernutrition on Frailty and Physical Functioning in Aging People With HIV in the United States",10.1097/jnc.0000000000000395,"Physical performance assessment data (Short Physical Performance Battery, grip strength, gait speed, chair‑rise time)","Survey‑derived frailty status and food‑security classification","combination",6.5,"The study merged two data sources collected on the same participants: objective physical performance measurements from the Short Physical Performance Battery and related tests, and survey‑derived variables on frailty phenotype and food‑security status. A unique participant identifier assigned at enr","[""participant_id""]","The study compared objective physical function measures (SPPB components) with categorical variables derived from surveys (frailty phenotype, food‑insecurity status) to test associations via t‑tests and chi‑square analyses."
pub.1155521462,"Effect of Canada Child Benefit on Food Insecurity: A Propensity Score−Matched Analysis",10.1016/j.amepre.2023.01.027,"Canadian Income Survey (CIS)","Canada Revenue Agency tax records","linkage",9,"The authors linked the Canadian Income Survey records to Canada Revenue Agency tax files in order to obtain verified income information and to identify eligibility for the Canada Child Benefit. The linkage was performed by first extracting personal identifiers from both sources, standardising the fo","[""tax_identifier"",""province"",""birth_year""]","CIS data were linked to tax records to obtain more accurate income information and to identify CCB eligibility."
pub.1155521462,"Effect of Canada Child Benefit on Food Insecurity: A Propensity Score−Matched Analysis",10.1016/j.amepre.2023.01.027,"Canadian Income Survey (CIS)","Canada Child Benefit (CCB) administrative records (via tax‑record linkage)","integration",8.5,"The authors used the Canadian Income Survey (CIS) which is already linked to Canada Revenue Agency tax records. Households that received the Canada Child Benefit (CCB) were identified through the tax‑record linkage field in the CIS file. The linkage was deterministic, based on the unique tax identif","[""tax_identifier"",""household_id"",""survey_cycle""]","Households receiving the Canada Child Benefit were identified within the CIS data to define treatment and control groups for the propensity‑score matching analysis."
pub.1155521462,"Effect of Canada Child Benefit on Food Insecurity: A Propensity Score−Matched Analysis",10.1016/j.amepre.2023.01.027,"Canadian Income Survey (CIS) 2018 wave","Canadian Income Survey (CIS) 2019 & 2020 waves","combination",7,"The authors extracted the micro‑data files for the Canadian Income Survey (CIS) 2018, 2019 and 2020 cycles. For each wave they applied the same inclusion criteria (CCB‑receiving households with at least one child < 18 years, removal of non‑positive incomes and top‑income outliers). Variable names an","[]","Data from the 2018, 2019, and 2020 CIS cycles were pooled to create the analytical sample of households."
pub.1155700230,"Profile of a Food-Insecure College Student at a Major Southeastern University: A Randomized Cross-Sectional Study",10.3390/nu15051108,"University of Florida student survey responses (online Qualtrics questionnaire)","USDA Food Security Short Form (Six‑Item Household Food Security Module)","integration",7.2,"The USDA six item food security module was embedded as a set of questions inside the Qualtrics questionnaire. Raw item responses were exported, cleaned and scored according to the official USDA algorithm to produce a binary food security status variable. The status variable was then merged back with","[""email_id""]","The authors administered the USDA six‑item Food Security Short Form within their own Qualtrics survey and used the standard scoring algorithm to classify each respondent as food‑secure or food‑insecure. This combines the external USDA instrument (a nationally‑validated dataset of items and scoring r"
pub.1155700230,"Profile of a Food-Insecure College Student at a Major Southeastern University: A Randomized Cross-Sectional Study",10.3390/nu15051108,"Study’s own prevalence estimates of food insecurity among UF undergraduates","State‑wide and county‑level food insecurity prevalence figures (Florida state, Alachua County) derived from USDA/other public health datasets","fusion",6.4,"The authors extracted the prevalence estimate from their own survey (36.1 percent) and extracted state level (9.9 percent) and county level (13.4 percent) figures from publicly available USDA and health department tables. Both datasets were converted to flat files with columns for location (state, c","[""state_name"",""county_name"",""survey_year""]","In the discussion the authors compare their 36.1 % prevalence estimate with the 9.9 % state‑level figure for Florida and the 13.4 % figure for Alachua County, citing external sources. This juxtaposes the study’s primary dataset with publicly available population‑level datasets to contextualize the r"
pub.1155885414,"Financial precarity, food insecurity, and psychological distress prospectively linked with use of potentially dangerous dietary supplements during the pandemic in the US",10.3389/fpubh.2023.1120942,"Nurses' Health Study 2 (NHS2) cohort data","COVID‑19 Substudy survey responses","integration",9.2,"Baseline NHS2 participant records were merged with each wave of the COVID‑19 Substudy questionnaire responses. The merge used the unique participant identifier assigned by the cohort (ID number or email) that is present in both data sources. After extracting the two datasets, the identifier fields w","[""participant_id""]","Baseline demographic, health, and occupational information from NHS2 participants were linked with their repeated‑measure COVID‑19 Substudy questionnaire data (financial strain, food insecurity, psychological distress, supplement use) to create a longitudinal analytic file."
pub.1155885414,"Financial precarity, food insecurity, and psychological distress prospectively linked with use of potentially dangerous dietary supplements during the pandemic in the US",10.3389/fpubh.2023.1120942,"Nurses' Health Study 3 (NHS3) cohort data","COVID‑19 Substudy survey responses","integration",9,"The researchers extracted baseline demographic variables from the NHS3 cohort and linked them to each participant's responses from the COVID‑19 Substudy surveys. A unique participant identifier assigned by the NHS3 database was used as the primary key. The linkage was performed in a relational fashi","[""participant_id""]","NHS3 participants’ baseline variables (age, gender, race/ethnicity, region, healthcare‑worker status) were merged with their longitudinal COVID‑19 Substudy questionnaire data to assess associations with supplement use."
pub.1155885414,"Financial precarity, food insecurity, and psychological distress prospectively linked with use of potentially dangerous dietary supplements during the pandemic in the US",10.3389/fpubh.2023.1120942,"Growing Up Today Study (GUTS) cohort data","COVID‑19 Substudy survey responses","integration",8.8,"Baseline demographic and health variables from the GUTS cohort were merged with COVID‑19 Substudy questionnaire responses. Records were first extracted from the GUTS database and the Substudy survey database, then cleaned to standardize participant identifiers, dates and variable formats. A determin","[""participant_id"",""email"",""cohort_id"",""wave_timestamp""]","Child participants of NHS2 (GUTS) contributed baseline demographic and health information that were linked to their COVID‑19 Substudy survey responses on financial strain, food insecurity, distress, and supplement use."
pub.1155885414,"Financial precarity, food insecurity, and psychological distress prospectively linked with use of potentially dangerous dietary supplements during the pandemic in the US",10.3389/fpubh.2023.1120942,"NHS2, NHS3, and GUTS combined cohort data","COVID‑19 Substudy longitudinal survey data","fusion",8.5,"The three cohort databases were extracted, harmonized to a common variable set, and concatenated row-wise to create a single analytic table. Participant identifiers supplied by each cohort served as the join key; records were matched exactly on the unique cohort participant ID and study wave timesta","[""cohort_participant_id"",""study_wave_timestamp""]","All three national cohorts were pooled (total N≈58,600) to form a single analytic dataset for the COVID‑19 Substudy, enabling pooled modified‑Poisson GEE models across the combined sample."
pub.1155892271,"Hospital-Based, Community Teaching Kitchen Integrates Diabetes Education, Culinary Medicine, and Food Assistance: Case Study During the COVID-19 Pandemic",10.1007/s11606-022-07931-5,"USDA Economic Research Service Population Survey","Providence Community Teaching Kitchen (CTK) patient and program data","integration",8.2,"The authors extracted national food insecurity estimates from the USDA ERS Population Survey and local patient level data from the Providence CTK database. They aligned the two sources on calendar year and demographic groups such as race ethnicity and presence of children in the household. Because n","[""year"",""race_ethnicity"",""household_children_flag""]","The authors cite national food‑insecurity trends from the USDA ERS Population Survey and then present CTK‑specific food‑insecurity rates (Table 2), indicating that the two sources were analyzed together to compare national versus local impacts of COVID‑19."
pub.1155892271,"Hospital-Based, Community Teaching Kitchen Integrates Diabetes Education, Culinary Medicine, and Food Assistance: Case Study During the COVID-19 Pandemic",10.1007/s11606-022-07931-5,"Current Population Survey – Food Security Supplement (CPS‑FSS)","Providence CTK internal patient and food‑insecurity data","fusion",7.6,"The researchers first extracted national food insecurity estimates from the Current Population Survey Food Security Supplement and the local patient level data from the Providence teaching kitchen database. Both sources were filtered to the same calendar years and geographic units. A common geograph","[""year"",""zip_code""]","The text mentions the “Recent USDA Economic Research Service Population Survey cites… using data from the Current Population Survey Food Security Supplement” and later discusses CTK participants’ food‑insecurity levels, implying that CPS‑FSS data were merged with CTK data to contextualize local find"
pub.1155892271,"Hospital-Based, Community Teaching Kitchen Integrates Diabetes Education, Culinary Medicine, and Food Assistance: Case Study During the COVID-19 Pandemic",10.1007/s11606-022-07931-5,"Behavioral Risk Factor Surveillance System (BRFSS)","CTK patient health‑condition dataset (obesity, hypertension, diabetes, etc.)","combination",6.8,"The authors combined publicly available BRFSS survey data with internal CTK patient records by aligning variables that describe demographic groups and chronic condition prevalence. Data were extracted, cleaned, and then merged on common identifiers such as year, state, age_group, sex and race_ethnic","[""year"",""state"",""age_group"",""sex"",""race_ethnicity""]","The authors cite an analysis of the BRFSS that examines housing, food insecurity, care access, and health status among the chronically ill, and they present parallel prevalence data for chronic conditions among CTK participants, suggesting a joint analysis of the two sources."
pub.1155949241,"Disparities and Determinants of Food Insecurity for New Mexico’s Unique Populations",10.1007/s41996-023-00113-3,"Current Population Survey – Food Security Supplement (CPS‑FSS)","Current Population Survey basic monthly data (December CPS core)","integration",8.7,"The author extracted the December CPS core files and the CPS Food Security Supplement files for each survey year 2000‑2018. Both files contain the same household identifier HHID together with YEAR and MONTH variables. After loading the two datasets, the variables were standardized, numeric formats a","[""HHID"",""YEAR"",""MONTH""]","The author links the food‑security supplement responses to the core CPS questionnaire to obtain household‑level covariates (e.g., number of children, education, employment, SNAP receipt). This is required to construct the analytic dataset used in the linear probability models."
pub.1155949241,"Disparities and Determinants of Food Insecurity for New Mexico’s Unique Populations",10.1007/s41996-023-00113-3,"Current Population Survey – Food Security Supplement (CPS‑FSS)","U.S. Census Bureau Small Area Income and Poverty Estimates (SAIPE) / Census QuickFacts","fusion",6.4,"The analyst first downloaded the CPS Food Security Supplement microdata for New Mexico and the SAIPE/QuickFacts state level tables. Both sources contain a common geographic identifier (state name) and a common temporal identifier (year). The data were loaded into a pandas data frame. State names wer","[""state_name"",""year""]","State‑level poverty and income statistics from SAIPE and QuickFacts are cited to contextualize New Mexico’s poverty and food‑insecurity rates alongside the CPS‑FSS analysis. The author uses these external aggregates to augment interpretation of the CPS results."
pub.1156304476,"From Syringes to Dishes: Improving Food Security Through Vaccination",10.2139/ssrn.4390226,"Household Pulse Survey (HPS)","COVID‑19 U.S. State Policy (CUSP) database","integration",9.2,"The authors linked individual level survey records with state policy records by aligning the state identifier and the survey wave date They first standardized state codes and converted wave dates to a common format Then they performed an inner join on state and wave using a data frame merge operatio","[""state"",""wave_date""]","The authors link individual‑level HPS responses on vaccination status, food‑security, and financial optimism with state‑level, time‑varying policy variables that indicate when each state made COVID‑19 vaccines eligible for specific age groups. The merge is performed on state and survey wave (date) i"
pub.1156304476,"From Syringes to Dishes: Improving Food Security Through Vaccination",10.2139/ssrn.4390226,"Current Population Survey – Food Security Supplement (CPS‑FSS)","COVID‑19 U.S. State Policy (CUSP) database","integration",7.8,"The researchers first extracted monthly SNAP receipt information from the CPS‑FSS and created a panel at the state‑month level. They then extracted vaccine eligibility dates from the CUSP database and constructed a binary eligibility variable for each state‑month. Both data sets were cleaned to ensu","[""state"",""year_month""]","To examine the impact of vaccination on SNAP participation, the authors combine CPS‑FSS data (which provides monthly SNAP receipt information) with the CUSP policy data on vaccine eligibility. The merge is done at the state‑month level to align SNAP receipt with the timing of eligibility changes."
pub.1156304476,"From Syringes to Dishes: Improving Food Security Through Vaccination",10.2139/ssrn.4390226,"Household Pulse Survey (HPS)","Current Population Survey – Food Security Supplement (CPS‑FSS)","combination",6.4,"the study does not perform a technical merge of hps and cpsfss records instead the authors treat the two surveys as separate data sources and combine their results in a narrative synthesis findings from hps on vaccination status and food insecurity are presented alongside snap receipt estimates from","[]","The study juxtaposes outcomes from HPS (vaccination status and food‑insecurity) with SNAP receipt measured in CPS‑FSS to discuss broader welfare implications. While the two surveys are not merged at the individual level, the authors combine their findings in a joint analytical narrative, treating th"
pub.1156309782,"Delivering Food Resources and Kitchen Skills (FoRKS) to Adults with Food Insecurity and Hypertension: A Pilot Study",10.3390/nu15061452,"USDA 18‑item Household Food Security Survey Module (HFSSM)","Four‑Domain Food Insecurity Scale (4D‑FIS)","fusion",8.9,"The researchers extracted the USDA HFSSM responses and the 4D FIS responses from the same participant questionnaires at baseline and post training. Each participant record contained a study ID that was assigned at enrollment. The two datasets were merged on this study ID using an inner join so that ","[""study_id""]","Both instruments were administered to each participant (baseline and post‑training) and the authors used the two scores together to characterize changes in food security across multiple dimensions (financial, quantitative, psychological, social)."
pub.1156309782,"Delivering Food Resources and Kitchen Skills (FoRKS) to Adults with Food Insecurity and Hypertension: A Pilot Study",10.3390/nu15061452,"Automated Self‑Assisted 24‑hour Dietary Recall (ASA‑24) raw intake data","Healthy Eating Index‑2015 (HEI‑2015) scoring algorithm (NCI)","integration",8.3,"The raw nutrient intake files generated by the ASA‑24 system were exported for each participant and each recall. A preprocessing script extracted the participant identifier, recall number and assessment date and reshaped the data to a long format where each row represented a single nutrient observat","[""participant_id"",""assessment_date"",""recall_number""]","Participants completed up to two ASA‑24 recalls; the resulting nutrient‑level data were fed into the publicly‑available HEI‑2015 scoring algorithm to produce a single diet‑quality score for each time point."
pub.1156309782,"Delivering Food Resources and Kitchen Skills (FoRKS) to Adults with Food Insecurity and Hypertension: A Pilot Study",10.3390/nu15061452,"Electronic Medical Record (EMR) clinical data (blood pressure, weight, medication list, diagnosis codes)","Participant‑reported survey data (demographics, health literacy, social‑support, food‑self‑efficacy, food‑security scores)","merge",7.8,"The researchers extracted the EMR clinical data and the participant survey files, harmonized column names, standardized the participant identifier across both sources, and removed duplicate or invalid rows. After creating a common key that combined the study participant ID with the assessment visit ","[""participant_id"",""visit_date""]","Baseline and post‑training clinical measurements were linked to each participant’s questionnaire responses for statistical comparison of physiological outcomes with psychosocial variables."
pub.1156359048,"Impact of Spatial Soil Variability on Rainfed Maize Yield in Kansas under a Changing Climate",10.3390/agronomy13030906,"gSSURGO (Gridded Soil Survey Geographic) soil database","NASS Cropland Data Layer (2019) – maize mask","fusion",9.2,"A 30 m raster of the 2019 NASS Cropland Data Layer was re‑projected to match the coordinate system of the gSSURGO polygon dataset. The raster was filtered to retain only maize pixels, creating a binary maize mask. Using ArcGIS 10.8 the mask was over‑laid on the gSSURGO soil polygons with a spatial s","[""spatial_location"",""polygon_id"",""raster_cell""]","The 30 m resolution NASS CDL was used to create a rain‑fed maize mask for the ten counties. This mask was over‑laid on the gSSURGO soil layers to extract only those soil polygons that actually lie under maize‑cropped pixels. The resulting soil‑by‑maize subset was then exported for DSSAT input."
pub.1156359048,"Impact of Spatial Soil Variability on Rainfed Maize Yield in Kansas under a Changing Climate",10.3390/agronomy13030906,"gridMET daily climate dataset (1990‑2019)","County boundary polygons (ten Kansas counties)","integration",8.7,"The study extracted daily climate variables from the gridMET raster dataset for the period 1990‑2019. Each gridMET pixel was assigned to a county by intersecting its geographic coordinates with the county polygon layer representing the ten Kansas counties. For each day the values of temperature, pre","[""county_polygon""]","Baseline historic weather variables (temperature, precipitation, solar radiation, etc.) were retrieved from gridMET and then aggregated to the county level for use as DSSAT weather inputs."
pub.1156359048,"Impact of Spatial Soil Variability on Rainfed Maize Yield in Kansas under a Changing Climate",10.3390/agronomy13030906,"CMIP5 GCM outputs downscaled via MACAv2 (18 models, RCP4.5 & RCP8.5)","County‑level aggregated climate series (near, mid, end‑century periods)","merge",8.4,"The climate projections from 18 CMIP5 GCMs were first downscaled to a 4 km grid using the MACAv2 statistical downscaling method. The resulting gridded variables (temperature, precipitation, solar radiation, wind, humidity) were then aggregated to the county level by summing or averaging over all gri","[""county_id"",""time_period"",""rcp_scenario""]","Future climate projections from 18 GCMs were downscaled to 4 km, then aggregated to the county level for each RCP and time slice, creating a merged climate dataset that feeds the DSSAT simulations."
pub.1156359048,"Impact of Spatial Soil Variability on Rainfed Maize Yield in Kansas under a Changing Climate",10.3390/agronomy13030906,"gSSURGO spatially distributed soils (soil .sol files)","Future climate series (downscaled GCM data) and crop‑management parameters","combination",7.9,"The authors first extracted soil polygons from the gSSURGO database and clipped them with a 30 m maize mask derived from the NASS Cropland Data Layer. Each polygon was assigned a unique soil identifier. Climate inputs (baseline gridMET and future MACAv2 downscaled GCM series) were stored as raster l","[""soil_polygon_id"",""climate_grid_cell_id"",""latitude_longitude""]","For each soil polygon within the maize mask, the authors ran DSSAT using the corresponding soil file together with the climate inputs (both baseline gridMET and future MACAv2‑derived weather) and a fixed set of management practices, thereby combining soil and climate datasets in each model run."
pub.1156359048,"Impact of Spatial Soil Variability on Rainfed Maize Yield in Kansas under a Changing Climate",10.3390/agronomy13030906,"USDA QuickStats 2.0 observed maize yields","DSSAT simulated yields (using gSSURGO soils and climate data)","integration",7.5,"The authors first extracted county‑level observed maize yields from the USDA QuickStats 2.0 database (variables: county name, year, observed yield). Separately, they ran the DSSAT CERES‑Maize model for each soil polygon derived from the gSSURGO database, using the same historical climate period (199","[""county_name"",""year""]","Observed county‑level maize yields from QuickStats were used to calibrate and validate the DSSAT CERES‑Maize model, linking observed yield records with model outputs derived from the integrated soil‑climate dataset."
pub.1156533500,"Food Insecurity and Adequacy of Dietary Intake in Youth and Young Adults With Youth-Onset Type 1 and Type 2 Diabetes",10.1016/j.jand.2023.03.013,"SEARCH for Diabetes in Youth cohort data (clinical, demographic, diabetes type, duration, etc.)","USDA Household Food Security Survey Module (HFSSM) responses","integration",9.2,"The investigators extracted the clinical records from the SEARCH Phase 4 cohort and the household food security responses from the USDA 18 item HFSSM. Both datasets contained a unique SEARCH participant identifier. After loading the files, they removed records with missing identifiers, resolved dupl","[""participant_id""]","The study linked each participant’s clinical information from the SEARCH cohort with their household food‑security status obtained via the 18‑item USDA HFSSM to compare dietary guideline adherence by food‑security status."
pub.1156533500,"Food Insecurity and Adequacy of Dietary Intake in Youth and Young Adults With Youth-Onset Type 1 and Type 2 Diabetes",10.1016/j.jand.2023.03.013,"SEARCH for Diabetes in Youth cohort data","Food Frequency Questionnaire (FFQ) dietary intake data","merge",9,"The study first extracted nutrient intake estimates from a validated food frequency questionnaire (FFQ) that had been administered to each participant. Separately, clinical data for each participant were obtained from the SEARCH for Diabetes in Youth cohort database. Both datasets contained a unique","[""participant_id""]","Participants completed a validated FFQ; the resulting nutrient intake estimates were merged with each participant’s SEARCH clinical records to evaluate adherence to Dietary Reference Intakes and Dietary Guidelines."
pub.1156533500,"Food Insecurity and Adequacy of Dietary Intake in Youth and Young Adults With Youth-Onset Type 1 and Type 2 Diabetes",10.1016/j.jand.2023.03.013,"Food Frequency Questionnaire (FFQ) response data","Nutrition Data Systems for Research (NDSR) nutrient database (version 4.05/33)","fusion",8.4,"The researchers first extracted the list of food and beverage items from the FFQ dataset. Each item was assigned a standardized food code that corresponds to entries in the Nutrition Data Systems for Research (NDSR) nutrient database version 4.05/33. A lookup table linking FFQ item names to NDSR foo","[""food_code""]","The FFQ’s food and beverage items were linked to nutrient values from the NDSR database to calculate estimated daily intakes of nutrients and dietary components."
pub.1157357481,"Estimates of Gaps in Supportive Housing Among Racially and Ethnically Diverse Older Adults with Serious Mental Illness in New York City Boroughs: Manhattan, Bronx, and Brooklyn",10.1016/j.jagp.2023.04.006,"Electronic Health Records (EHR)","Older Adult Needs Assessment (OANA) survey data","integration",9.2,"Residents meeting inclusion criteria were first extracted from the electronic health record (EHR) system. The extraction pulled a unique resident identifier (medical record number), contact information, and ICD‑10 diagnostic codes. Separately, frontline residential staff administered the Older Adult","[""medical_record_number"",""name"",""date_of_birth"",""unit_location""]","The methods state that residents who met inclusion criteria were identified via EHR (extracting contact information and ICD‑10 diagnoses) and that additional variables (housing needs, fall‑prevention checklist, food‑insecurity items, ADL/IADL scores) were collected through the OANA survey administer"
